us/m (H2),xs (H2),us/m (C4H10),"xs (Butane, C4H10)",us/m (C16H34),"xs (Cetane, C16H34)",us/m (C4H6),"xs (Butadiene, C4H6)",us/m (CH4),"xs (Methane, CH4)",us/m (C2H6),"xs (Ethane, C2H6)",us/m (C3H8),"xs (Propane, C3H8)",us/m (C2H4),"xs (Ethylene, C2H4)"
130.6464678,22.9327347,1020.121301,78.3513929,1023.544498,80.29204193,896.325413,72.65259963,1050.239582,72.7362964,1020.761581,74.5415958,935.1523431,72.5613303,979.7376106,71.49654801
147.1807641,23.37385652,982.5037888,77.17230474,991.919675,79.18509241,863.2400812,71.6956666,1012.538373,71.18376123,978.5616711,72.9162843,902.0335325,71.45501847,943.5806075,70.16744335
165.225787,23.88903004,950.9124442,76.21473402,952.808176,78.00664194,828.6607621,70.73937126,971.832451,69.55781205,949.908083,71.73337,861.4280462,70.27720568,908.9510703,68.98707981
183.2540705,24.32951417,913.3116718,75.11033526,918.2121175,76.97565719,794.0479642,69.63369712,932.6372552,68.00591457,916.7725331,70.55236877,826.8654664,69.39559974,883.3524142,68.10164773
198.2776401,24.69658428,880.2096006,74.07871282,894.1074487,76.08958742,760.945893,68.60207468,894.9360467,66.45337941,882.1262566,69.29731582,786.2599801,68.21778696,850.2336037,66.9953359
216.2891843,25.062379,842.5920889,72.89962466,857.9504455,74.76048277,723.2949026,67.27360772,864.7382533,65.04703459,827.9744486,67.67710585,754.6518962,67.18552684,823.1242209,66.03585211
237.2719637,25.35220895,795.943696,71.42560503,830.8410628,73.80099898,685.6439121,65.94514076,834.5571993,63.71537918,796.3998434,66.79422452,714.0631492,66.08240345,782.4685166,64.63397112
255.3002472,25.79269307,762.8081461,70.2446038,794.7510171,72.77065193,652.5251016,64.83882892,801.3714313,62.31030975,758.8158103,65.76451516,677.9563641,64.977367,747.7887613,63.22953938
270.3070775,26.08507378,731.1665835,69.06296488,761.6824246,71.8884083,611.8526578,63.36225854,765.113992,60.53306869,724.2197518,64.73353042,647.8757462,64.09384799,719.1519126,62.12131448
285.3306471,26.45214388,701.0357475,67.95537767,727.1198448,71.00680236,581.7050825,62.17998193,719.8424109,58.53558557,683.5975262,63.48102823,613.2294696,62.83879505,672.4365623,60.34853725
300.370956,26.89390339,657.3083718,66.18132506,688.0083458,69.82835188,549.9965625,60.6995854,676.1485139,56.91091177,650.4787156,62.3747164,577.0557271,61.43500099,640.7447817,58.94283013
316.9219916,27.4097146,627.1607964,64.99904845,660.9157024,68.94355749,519.8155084,59.36792999,644.5739087,56.02803045,624.8967989,61.56397372,551.3733743,60.17612191,598.5113932,57.16813983
334.9837539,27.99957753,595.4690158,63.59334132,623.2814513,67.68977993,495.6104035,58.03372382,609.9778502,54.9970457,593.1882789,60.0835772,528.7124747,59.06534625,556.2612654,55.31876013
350.0240628,28.44133704,568.2926756,62.33509993,599.1433038,66.65433136,472.9160252,56.77356936,584.3791942,54.11161362,564.4844728,58.6765947,506.0013571,57.73050239,520.0373048,53.69089788
369.5463336,28.88118347,538.0948822,60.92875512,570.4394977,65.24734886,450.1546896,55.2146573,558.7135807,52.92742394,534.26994,57.19556048,484.7172693,56.09626324,489.8562508,52.35924246
386.0638905,29.24761589,509.3910761,59.52177262,546.2511321,63.98783208,428.8538625,53.50572874,530.0432533,51.66982024,511.5923011,56.01009542,457.3735357,54.09112784,459.6584574,50.95289765
404.0754347,29.61341061,477.5988593,57.66792909,526.5279891,62.65171284,409.0972407,52.0202307,501.3394472,50.26283774,479.833563,54.3056307,430.0465414,52.16068185,429.4271853,49.39717404
423.5642268,29.90387825,456.3482503,56.18306874,509.8430387,61.53838643,383.230755,49.93976822,472.6523804,48.93054464,455.6284581,52.97142453,401.1920811,50.08149474,394.697212,47.76867409
446.0744722,30.34244931,433.5701753,54.54946728,488.5756903,59.97883667,366.4621078,48.4529948,437.9726252,47.52611289,429.8958872,51.48847725,379.9247327,48.52194499,371.9860944,46.43383023
468.6181963,30.93039916,410.7753609,52.84117642,471.8907398,58.86551026,349.6767212,46.89153198,398.7272113,45.75014722,413.2444155,50.52452963,360.218329,47.26051515,355.2844046,45.24581441
489.6846724,31.59367611,388.0140252,51.28226436,459.72123,57.89964957,332.8745953,45.25537976,360.942306,43.82416505,398.086931,49.55994432,343.4998999,45.99780993,330.9956029,43.53816124
