Wavelength (A)	Transmission
20.65	1.31E-208
20.70	8.58E-210
20.75	1.18E-211
20.80	1.28E-212
20.85	4.66E-213
20.90	1.70E-213
20.95	6.78E-214
21.00	3.28E-214
21.05	2.39E-214
21.10	7.05E-214
21.15	1.09E-213
21.20	9.70E-214
21.25	5.98E-214
21.30	2.83E-214
21.35	1.19E-214
21.40	4.68E-215
21.45	1.77E-215
21.50	6.52E-216
21.55	2.35E-216
21.60	8.38E-217
21.65	2.93E-217
21.70	9.77E-218
21.75	3.15E-218
21.80	1.00E-218
21.85	3.16E-219
21.90	1.00E-219
21.95	1.04E-116
22.00	5.99E-116
22.05	1.04E-115
22.10	1.02E-115
22.15	7.83E-116
22.20	5.34E-116
22.25	3.40E-116
22.30	2.06E-116
22.35	1.20E-116
22.40	6.72E-117
22.45	3.62E-117
22.50	1.86E-117
22.55	8.98E-118
22.60	3.88E-118
22.65	1.32E-118
22.70	2.00E-119
22.75	3.16E-228
22.80	1.00E-228
22.85	3.16E-229
22.90	1.00E-229
22.95	3.16E-230
23.00	7.27E-122
23.05	3.96E-121
23.10	1.11E-120
23.15	1.78E-120
23.20	2.07E-120
23.25	2.32E-120
23.30	2.84E-120
23.35	5.21E-120
23.40	1.46E-119
23.45	2.89E-119
23.50	3.72E-119
23.55	3.51E-119
23.60	2.78E-119
23.65	2.01E-119
23.70	1.38E-119
23.75	9.19E-120
23.80	5.96E-120
23.85	3.80E-120
23.90	2.39E-120
23.95	1.49E-120
24.00	9.11E-121
24.05	5.44E-121
24.10	3.14E-121
24.15	1.78E-121
24.20	1.09E-06
24.25	1.23E-05
24.30	4.66E-05
24.35	1.14E-04
24.40	2.89E-04
24.45	1.36E-03
24.50	9.56E-03
24.55	3.23E-02
24.60	6.74E-02
24.65	9.64E-02
24.70	1.09E-01
24.75	1.04E-01
24.80	8.32E-02
24.85	4.83E-02
24.90	1.86E-02
24.95	3.55E-03
25.00	5.86E-05
25.05	5.19E-126
25.10	3.09E-126
25.15	1.77E-126
25.20	1.00E-126
25.25	5.62E-127
25.30	3.16E-127
25.35	1.78E-127
25.40	1.00E-127
25.45	5.62E-128
25.50	3.16E-128
25.55	1.78E-128
25.60	1.00E-128
25.65	5.62E-129
25.70	3.16E-129
25.75	1.78E-129
25.80	1.00E-129
25.85	5.62E-130
25.90	3.16E-130
25.95	1.78E-130
26.00	1.00E-130
26.05	5.62E-131
26.10	3.16E-131
26.15	1.78E-131
26.20	1.00E-131
26.25	5.62E-132
26.30	3.16E-132
26.35	1.78E-132
26.40	1.00E-132
26.45	5.62E-133
26.50	3.16E-133
26.55	1.78E-133
26.60	9.96E-134
26.65	5.53E-134
26.70	2.99E-134
26.75	1.56E-134
26.80	7.98E-135
26.85	4.03E-135
26.90	2.02E-135
26.95	9.91E-136
27.00	4.78E-136
27.05	2.24E-136
27.10	1.01E-136
27.15	4.26E-137
27.20	1.60E-137
27.25	4.82E-138
27.30	9.86E-139
27.35	1.10E-139
27.40	3.33E-141
27.45	2.74E-142
27.50	4.88E-142
27.55	9.65E-142
27.60	5.30E-141
27.65	1.58E-140
27.70	2.60E-140
27.75	2.90E-140
27.80	2.35E-140
27.85	1.61E-140
27.90	1.01E-140
27.95	6.00E-141
28.00	3.39E-141
28.05	1.83E-141
28.10	9.31E-142
28.15	4.38E-142
28.20	1.77E-142
28.25	5.44E-143
28.30	1.11E-143
28.35	1.24E-144
28.40	3.18E-146
28.45	3.34E-149
28.50	1.00E-285
28.55	3.16E-286
28.60	1.00E-286
28.65	3.16E-287
28.70	1.00E-287
28.75	3.16E-288
28.80	1.00E-288
28.85	3.16E-289
28.90	1.00E-289
28.95	3.16E-290
29.00	1.00E-290
29.05	3.16E-291
29.10	1.00E-291
29.15	3.16E-292
29.20	1.00E-292
29.25	3.16E-293
29.30	1.00E-293
29.35	3.16E-294
29.40	1.00E-294
29.45	3.16E-295
29.50	1.00E-295
29.55	3.16E-296
29.60	1.00E-296
29.65	3.16E-297
29.70	1.00E-297
29.75	3.16E-298
29.80	1.00E-298
29.85	3.16E-299
29.90	1.00E-299
29.95	3.16E-300
30.00	1.00E-300
30.05	3.16E-301
30.10	1.00E-301
30.15	3.16E-302
30.20	1.00E-302
30.25	3.16E-303
30.30	1.00E-303
30.35	3.16E-304
30.40	1.00E-304
30.45	3.16E-305
30.50	1.00E-305
30.55	3.16E-306
30.60	9.99E-307
30.65	3.16E-307
30.70	9.98E-308
30.75	3.15E-308
30.80	0.00E-01
30.85	0.00E-01
30.90	0.00E+00
30.95	0.00E+00
31.00	0.00E+00
31.05	0.00E+00
31.10	0.00E+00
31.15	0.00E+00
31.20	0.00E+00
31.25	0.00E+00
31.30	0.00E+00
31.35	0.00E+00
31.40	0.00E+00
31.45	0.00E+00
31.50	0.00E+00
31.55	0.00E+00
31.60	0.00E+00
