,formula,thickness,density,height,transmission,mu_per_cm,transmission (2.53 Å),mu_per_cm (2.53 Å)
101,Ni8901Co455Cr3840Al286Mo470Ti299Nb385Fe2523,2.0506237261857785,8.21472,6.5622,70.84149909497056,1.6810749197589312,72.281441,1.582946593073687
102,Ni8716Co436Cr3645Al275Mo499Ti378Nb606Fe2371,2.095838209615911,8.21472,6.6271,70.70677932660011,1.6538906841936816,72.148763,1.5575631947857032
103,Ni8935Co443Cr3876Al279Mo454Ti268Nb316Fe2610,2.091804052859338,8.21472,6.6921,70.27601508576731,1.6862938205830917,71.729341,1.5884389489907176
104,Ni8752Co435Cr3869Al278Mo489Ti347Nb493Fe2493,2.093360253717183,8.21472,6.7571,70.68762489904356,1.6571426947604209,72.131394,1.5605570654292202
105,Ni8800Co438Cr3877Al285Mo501Ti343Nb486Fe2466,2.0704400991244887,8.21472,6.822,70.93721955987048,1.6584634919233698,72.372827,1.56169345281718
106,Ni8847Co456Cr3820Al284Mo475Ti299Nb393Fe2525,2.0615622958281743,8.21472,6.887,70.73588339858294,1.6793923618458084,72.180461,1.581328881706832
107,Ni8864Co456Cr3865Al284Mo469Ti310Nb397Fe2543,2.071025435254569,8.21472,6.952,70.65003247714898,1.6775825697391302,72.098171,1.5796112592108944
108,Ni8787Co444Cr3769Al272Mo486Ti326Nb477Fe2471,2.060137746130559,8.21472,7.017,70.92623789631561,1.6675086532172367,72.361765,1.5702451665517496
109,Ni8917Co449Cr3855Al293Mo471Ti319Nb390Fe2518,2.088340845595014,8.21472,7.0819,70.43614537676545,1.6781916930633693,71.888828,1.5804379658906693
110,Ni8874Co432Cr3896Al278Mo452Ti327Nb393Fe2551,2.088193519495985,8.21472,7.1469,70.51261258943487,1.6731140429812597,71.95865,1.575900578331565
111,Ni8874Co425Cr3775Al271Mo468Ti322Nb446Fe2531,2.043330507961851,8.21472,7.2119,71.09210565835082,1.6697929460848666,72.513344,1.5729202135375946
112,Ni8822Co424Cr3818Al276Mo477Ti332Nb483Fe2516,2.060008891215733,8.21472,7.2769,71.02218496381818,1.6610505660123802,72.447571,1.5645905497197337
113,Ni8864Co432Cr3992Al275Mo450Ti286Nb361Fe2574,2.072924735022566,8.21472,7.3418,70.69876539449122,1.6727190812832895,72.138517,1.5754651505484525
114,Ni8721Co430Cr3861Al514Mo453Ti341Nb450Fe2487,2.0076129579099504,8.21472,7.4068,71.7088717956748,1.6564732249816467,73.115971,1.5596799190308364
115,Ni8835Co439Cr3966Al275Mo473Ti295Nb388Fe2551,1.9829195694337527,8.21472,7.4718,71.81329253095754,1.6697631080431217,73.217228,1.5721234604098335
