,formula,thickness,density,height,transmission,mu_per_cm
87,Ni8889Co453Cr3914Al282Mo468Ti294Nb361Fe2563,2.0638321034749856,8.21472,5.6526,84.04971911086669,0.8419370343909724
88,Ni8803Co425Cr3804Al278Mo475Ti329Nb439Fe2531,2.0409730219761375,8.21472,5.7175,84.32545401680979,0.835319326069472
89,Ni8851Co427Cr3813Al277Mo472Ti319Nb423Fe2551,2.0260280893029723,8.21472,5.7825,84.40250901708475,0.8369728832130888
90,Ni8870Co435Cr3558Al273Mo471Ti317Nb425Fe2524,2.0685690058788193,8.21472,5.8475,83.97914603191643,0.8440698811369719
91,Ni8839Co464Cr3668Al284Mo480Ti327Nb408Fe2488,2.0592923626971054,8.21472,5.9124,84.0261018404961,0.8451577948307479
92,Ni8910Co448Cr3614Al276Mo446Ti292Nb355Fe2569,2.052362095497056,8.21472,5.9774,83.98992095827212,0.8501101404999785
93,Ni8665Co421Cr3504Al274Mo503Ti399Nb624Fe2383,2.078608725899847,8.21472,6.0424,84.18314449977959,0.8283207258879932
94,Ni8758Co437Cr3535Al285Mo493Ti346Nb495Fe2464,2.0610679193021615,8.21472,6.1074,84.13397054764593,0.8382051291820027
95,Ni8877Co450Cr3866Al280Mo444Ti306Nb387Fe2540,2.032897788204273,8.21472,6.1723,84.25832146590871,0.8425551521493675
96,Ni8937Co441Cr3959Al277Mo447Ti279Nb333Fe2593,2.0924652598402407,8.21472,6.2373,83.83211590133648,0.8428049471510466
97,Ni8822Co399Cr3997Al269Mo456Ti305Nb452Fe2560,2.090867526613247,8.21472,6.3023,84.09261235309593,0.8286104416668
98,Ni8834Co422Cr3951Al281Mo459Ti329Nb465Fe2514,2.088685669701465,8.21472,6.3673,84.05575209690612,0.8315750636232676
99,Ni8849Co429Cr3976Al274Mo457Ti304Nb416Fe2559,2.053986654144127,8.21472,6.4322,84.24168868873751,0.8348655618317333
100,Ni8932Co442Cr3963Al273Mo453Ti292Nb382Fe2571,2.0609162891716855,8.21472,6.4972,84.10678092971534,0.8398351442149711
101,Ni8901Co455Cr3840Al286Mo470Ti299Nb385Fe2523,2.0506237261857785,8.21472,6.5622,84.12994136430687,0.842707802432231
102,Ni8716Co436Cr3645Al275Mo499Ti378Nb606Fe2371,2.095838209615911,8.21472,6.6271,84.04962848352591,0.8290847334021353
103,Ni8935Co443Cr3876Al279Mo454Ti268Nb316Fe2610,2.091804052859338,8.21472,6.6921,83.79211889793442,0.8453527434609512
104,Ni8752Co435Cr3869Al278Mo489Ti347Nb493Fe2493,2.093360253717183,8.21472,6.7571,84.03813166667413,0.8307196118136214
105,Ni8800Co438Cr3877Al285Mo501Ti343Nb486Fe2466,2.0704400991244887,8.21472,6.822,84.1870978292446,0.8313619359751572
106,Ni8847Co456Cr3820Al284Mo475Ti299Nb393Fe2525,2.0615622958281743,8.21472,6.887,84.06682664834769,0.8418768059783175
107,Ni8864Co456Cr3865Al284Mo469Ti310Nb397Fe2543,2.071025435254569,8.21472,6.952,84.01549946914525,0.8409789841852082
108,Ni8787Co444Cr3769Al272Mo486Ti326Nb477Fe2471,2.060137746130559,8.21472,7.017,84.18057462441472,0.8358955455915961
109,Ni8917Co449Cr3855Al293Mo471Ti319Nb390Fe2518,2.088340845595014,8.21472,7.0819,83.88773451003793,0.8412935816873495
110,Ni8874Co432Cr3896Al278Mo452Ti327Nb393Fe2551,2.088193519495985,8.21472,7.1469,83.93372607019887,0.8387281747080894
111,Ni8874Co425Cr3775Al271Mo468Ti322Nb446Fe2531,2.043330507961851,8.21472,7.2119,84.27992730709069,0.8369985124912056
112,Ni8822Co424Cr3818Al276Mo477Ti332Nb483Fe2516,2.060008891215733,8.21472,7.2769,84.23816547950894,0.8326279388388871
113,Ni8864Co432Cr3992Al275Mo450Ti286Nb361Fe2574,2.072924735022566,8.21472,7.3418,84.04500833868349,0.8385143664367385
114,Ni8721Co430Cr3861Al514Mo453Ti341Nb450Fe2487,2.0076129579099504,8.21472,7.4068,84.64612058371894,0.8302940399997756
115,Ni8835Co439Cr3966Al275Mo473Ti295Nb388Fe2551,1.9829195694337527,8.21472,7.4718,84.70800161245333,0.836948312526446
116,Ni8806Co482Cr3827Al286Mo501Ti361Nb469Fe2397,2.0128392231420364,8.22884,7.5367,84.4344040184224,0.8405799874606984
117,Ni8856Co640Cr3916Al317Mo538Ti362Nb338Fe2246,2.0208347573228083,8.22884,7.6017,83.9823438823698,0.863819273110668
118,Ni8886Co662Cr3891Al319Mo542Ti345Nb304Fe2232,1.9820908113839482,8.22884,7.6667,84.17184811799898,0.8693328532072525
119,Ni8836Co668Cr3995Al359Mo555Ti383Nb333Fe2203,2.056728789046245,8.22884,7.7317,83.72372206252041,0.8637397010324509
120,Ni8816Co710Cr3986Al324Mo586Ti414Nb347Fe2090,2.061114250246958,8.22884,7.7966,83.62849546981849,0.867423380589959
121,Ni8954Co712Cr4104Al335Mo532Ti339Nb271Fe2197,2.074659332302389,8.22884,7.8616,83.42909143594215,0.8732668368665727
122,Ni8870Co726Cr4028Al320Mo563Ti375Nb307Fe2123,2.0933856402301276,8.22884,7.9266,83.30529072085486,0.8725488570575379
123,Ni8824Co708Cr3993Al331Mo577Ti389Nb340Fe2121,2.053635433052874,8.22884,7.9915,83.67624500401998,0.8678028100260473
124,Ni8803Co712Cr3927Al327Mo573Ti402Nb360Fe2105,2.0967806595097835,8.22884,8.0565,83.34753977599964,0.8687179232860278
125,Ni8949Co738Cr4064Al326Mo545Ti346Nb275Fe2164,2.109472537304583,8.22884,8.1215,83.11875163645257,0.876521760064659
126,Ni8731Co724Cr3789Al331Mo615Ti442Nb459Fe1989,2.1207725861699775,8.22884,8.1865,83.24117545073952,0.8649115163685627
127,Ni8886Co751Cr3868Al330Mo559Ti372Nb292Fe2107,2.0811844096655476,8.22884,8.2514,83.25465732374423,0.8805856608018108
128,Ni8879Co747Cr3814Al338Mo576Ti402Nb346Fe2071,2.1286587251783367,8.22884,8.3164,82.97090611097734,0.8769849587271603
129,Ni8870Co753Cr3892Al339Mo579Ti375Nb282Fe2086,2.0876052759274475,8.22884,8.3814,83.22657141077514,0.8794934720045084
130,Ni8734Co776Cr3642Al340Mo625Ti453Nb382Fe1956,2.1297265298736177,8.22884,8.4464,82.93378824388839,0.8786462765312705
131,Ni8877Co793Cr3996Al351Mo595Ti400Nb297Fe2023,2.083515128601571,8.22884,8.5113,83.24777843685655,0.8799971759736005
132,Ni8858Co781Cr3965Al349Mo611Ti412Nb329Fe2004,2.1227623641488216,8.22884,8.5763,83.02438590073601,0.8763854986927183
133,Ni8768Co760Cr3875Al327Mo602Ti420Nb370Fe2005,2.125109357861074,8.22884,8.6413,83.05638844925812,0.8736041242837755
134,Ni8842Co788Cr3951Al331Mo586Ti404Nb328Fe2012,2.1292489352041937,8.22884,8.7062,82.92733792453892,0.8792086505991126
135,Ni8785Co793Cr4027Al338Mo600Ti414Nb307Fe1983,2.086990035874245,8.22884,8.7712,83.25766805123018,0.8779627573499413
136,Ni8919Co825Cr4044Al358Mo607Ti396Nb257Fe1975,2.1117379426248037,8.22884,8.8362,82.95452978018162,0.8849467469850323
137,Ni8807Co818Cr3981Al347Mo620Ti412Nb323Fe1972,2.1182026815253887,8.22884,8.9012,82.995799242596,0.8798978144672626
138,Ni8776Co815Cr4005Al347Mo628Ti445Nb329Fe1945,2.117132361120108,8.22884,8.9661,83.0391500056182,0.877876159276792
