,formula,thickness,density,transmission,mu_per_cm,height_mm,height
78,Ni8840Co422Cr3881Al265Mo452Ti304Nb416Fe2580,2.9970958144139535,8.2,77.8873438529964,0.8338295749306651,5.0678,5.0678
79,Ni8852Co419Cr3926Al276Mo468Ti304Nb429Fe2555,3.0431960481777716,8.2,77.65611567105489,0.8309680876433809,5.1328,5.1328
80,Ni8809Co409Cr3920Al273Mo460Ti319Nb466Fe2559,3.080356426300816,8.2,77.49559697716766,0.8276609234689261,5.1978,5.1978
81,Ni8842Co395Cr3917Al271Mo451Ti291Nb441Fe2594,3.027775308008616,8.2,77.81672412459861,0.8283765780124475,5.2627,5.2627
82,Ni8916Co399Cr4016Al267Mo444Ti287Nb388Fe2625,3.032156230230318,8.2,77.72985856055567,0.8308632644347397,5.3277,5.3277
83,Ni8864Co429Cr3989Al275Mo466Ti300Nb412Fe2548,3.0310598909294613,8.2,77.70827872706863,0.8320798533907996,5.3927,5.3927
84,Ni8867Co448Cr3849Al283Mo483Ti314Nb428Fe2518,3.0352310818642434,8.2,77.59947936001565,0.8355524217411713,5.4576,5.4576
85,Ni8843Co428Cr3803Al269Mo464Ti302Nb413Fe2567,2.9842407241548417,8.2,77.92402721575988,0.8358435765249242,5.5226,5.5226
86,Ni8873Co440Cr3785Al277Mo471Ti306Nb394Fe2557,2.990069199752874,8.2,77.82132438120372,0.8386250728829727,5.5876,5.5876
87,Ni8889Co453Cr3914Al282Mo468Ti294Nb361Fe2563,3.003468960937026,8.2,77.71503426578424,0.839434198976056,5.6526,5.6526
88,Ni8803Co425Cr3804Al278Mo475Ti329Nb439Fe2531,3.034804142328273,8.2,77.66710637679341,0.8327995737110415,5.7175,5.7175
89,Ni8851Co427Cr3813Al277Mo472Ti319Nb423Fe2551,2.9847619737669553,8.2,77.95227618487422,0.8344832603874561,5.7825,5.7825
90,Ni8870Co435Cr3558Al273Mo471Ti317Nb425Fe2524,2.989110439474435,8.2,77.75853116510805,0.8415945828891719,5.8475,5.8475
91,Ni8839Co464Cr3668Al284Mo480Ti327Nb408Fe2488,2.989079473745641,8.2,77.73424470464516,0.8426483742909574,5.9124,5.9124
92,Ni8910Co448Cr3614Al276Mo446Ti292Nb355Fe2569,2.988999488057428,8.2,77.62007877875558,0.8475881181362346,5.9774,5.9774
93,Ni8665Co421Cr3504Al274Mo503Ti399Nb624Fe2383,2.9889965145947235,8.2,78.12454793648455,0.8259155310347942,6.0424,6.0424
94,Ni8758Co437Cr3535Al285Mo493Ti346Nb495Fe2464,2.9889984698441654,8.2,77.89546282057206,0.8357397334465522,6.1074,6.1074
95,Ni8877Co450Cr3866Al280Mo444Ti306Nb387Fe2540,2.98910928763965,8.2,77.7948336144679,0.8400333973425934,6.1723,6.1723
96,Ni8937Co441Cr3959Al277Mo447Ti279Nb333Fe2593,2.9891981845992546,8.2,77.78685649043997,0.8403514697735278,6.2373,6.2373
97,Ni8822Co399Cr3997Al269Mo456Ti305Nb452Fe2560,2.983200221815574,8.2,78.15457846695186,0.8262319887368667,6.3023,6.3023
98,Ni8834Co422Cr3951Al281Mo459Ti329Nb465Fe2514,3.0305533272564897,8.2,77.7812151953564,0.8291232879115694,6.3673,6.3673
99,Ni8849Co429Cr3976Al274Mo457Ti304Nb416Fe2559,2.9837742865356343,8.2,78.00692892395733,0.8324105881809515,6.4322,6.4322
100,Ni8932Co442Cr3963Al273Mo453Ti292Nb382Fe2571,2.9843548905640374,8.2,77.88793556801507,0.8373639363482681,6.4972,6.4972
101,Ni8901Co455Cr3840Al286Mo470Ti299Nb385Fe2523,2.917601817072302,8.2,78.25793649448268,0.8402789422011342,6.5622,6.5622
102,Ni8716Co436Cr3645Al275Mo499Ti378Nb606Fe2371,2.857922664091324,8.2,78.95447709165143,0.8268199203776757,6.6271,6.6271
103,Ni8935Co443Cr3876Al279Mo454Ti268Nb316Fe2610,2.8614458461419705,8.2,78.56632446099414,0.8430249367037373,6.6921,6.6921
104,Ni8752Co435Cr3869Al278Mo489Ti347Nb493Fe2493,2.8609541975675676,8.2,78.89806573918145,0.8284420421149158,6.7571,6.7571
105,Ni8800Co438Cr3877Al285Mo501Ti343Nb486Fe2466,2.8609533892166406,8.2,78.88417568921935,0.8290576866868455,6.822,6.822
106,Ni8847Co456Cr3820Al284Mo475Ti299Nb393Fe2525,2.861471273377187,8.2,78.64497303197037,0.8395208312554667,6.887,6.887
107,Ni8864Co456Cr3865Al284Mo469Ti310Nb397Fe2543,2.858019695643775,8.2,78.6875859665061,0.8386393629274563,6.952,6.952
108,Ni8787Co444Cr3769Al272Mo486Ti326Nb477Fe2471,2.9181105692694973,8.2,78.40943577000465,0.8335047829437137,7.017,7.017
109,Ni8917Co449Cr3855Al293Mo471Ti319Nb390Fe2518,2.985025521800269,8.2,77.84922833164353,0.8388410691117498,7.0819,7.0819
110,Ni8874Co432Cr3896Al278Mo452Ti327Nb393Fe2551,2.988052528508448,8.2,77.8888513402825,0.8362883717231224,7.1469,7.1469
111,Ni8874Co425Cr3775Al271Mo468Ti322Nb446Fe2531,2.9889392773694627,8.2,77.92413510545128,0.8345250147725901,7.2119,7.2119
112,Ni8822Co424Cr3818Al276Mo477Ti332Nb483Fe2516,2.9865026739201763,8.2,78.04096911486718,0.8301892855952343,7.2769,7.2769
113,Ni8864Co432Cr3992Al275Mo450Ti286Nb361Fe2574,3.028030613060249,8.2,77.63523672097057,0.8360179032372977,7.3418,7.3418
114,Ni8721Co430Cr3861Al514Mo453Ti341Nb450Fe2487,3.0590871549332324,8.2,77.63053670350581,0.8277283684989473,7.4068,7.4068
115,Ni8835Co439Cr3966Al275Mo473Ti295Nb388Fe2551,3.0312275915854565,8.2,77.65360516356255,0.8343557237176505,7.4718,7.4718
116,Ni8806Co482Cr3827Al286Mo501Ti361Nb469Fe2397,3.0983684079338247,8.21,77.14490236867508,0.8374881533956688,7.5367,7.5367
117,Ni8856Co640Cr3916Al317Mo538Ti362Nb338Fe2246,3.116041390257884,8.21,76.48048627533886,0.8604974243949803,7.6017,7.6017
118,Ni8886Co662Cr3891Al319Mo542Ti345Nb304Fe2232,3.094454187767628,8.21,76.49354480974492,0.865948610088166,7.6667,7.6667
119,Ni8836Co668Cr3995Al359Mo555Ti383Nb333Fe2203,3.116677117691869,8.21,76.47767130199567,0.8604400008053434,7.7317,7.7317
120,Ni8816Co710Cr3986Al324Mo586Ti414Nb347Fe2090,3.1131805352049327,8.21,76.41395669651845,0.8640836089768676,7.7966,7.7966
121,Ni8954Co712Cr4104Al335Mo532Ti339Nb271Fe2197,3.163240744902165,8.21,75.94524601860049,0.8698596618535044,7.8616,7.8616
122,Ni8870Co726Cr4028Al320Mo563Ti375Nb307Fe2123,3.1308177252087575,8.21,76.17553748968258,0.8691972163206525,7.9266,7.9266
123,Ni8824Co708Cr3993Al331Mo577Ti389Nb340Fe2121,3.117879872069586,8.21,76.37421988423462,0.8644495422823971,7.9915,7.9915
124,Ni8803Co712Cr3927Al327Mo573Ti402Nb360Fe2105,3.1169010037867624,8.21,76.35770986155674,0.8654146493229207,8.0565,8.0565
125,Ni8949Co738Cr4064Al326Mo545Ti346Nb275Fe2164,3.117082367221479,8.21,76.17172789897047,0.8731877602990248,8.1215,8.1215
126,Ni8731Co724Cr3789Al331Mo615Ti442Nb459Fe1989,3.117103290325698,8.21,76.44607028579598,0.8616482430249397,8.1865,8.1865
127,Ni8886Co751Cr3868Al330Mo559Ti372Nb292Fe2107,3.1171003700241746,8.21,76.07680084001922,0.8771832348155375,8.2514,8.2514
128,Ni8879Co747Cr3814Al338Mo576Ti402Nb346Fe2071,3.1170999833324844,8.21,76.16023816059581,0.8736667731461709,8.3164,8.3164
