,formula,thickness,density,transmission,mu_per_cm,height_mm
250,Ni8833Co1465Cr3602Al463Mo854Ti575Nb102Fe1019,3.244934631141682,8.23,53.58131617316608,1.9229039363371545,16.2429
251,Ni8814Co1467Cr3597Al468Mo864Ti603Nb111Fe1002,3.2452106543824457,8.23,53.62091634800793,1.920463815858887,16.3078
252,Ni8791Co1483Cr3630Al463Mo884Ti577Nb106Fe990,3.2452050246035338,8.23,53.61451562366582,1.920835004181548,16.3728
253,Ni8845Co1427Cr3682Al456Mo835Ti561Nb121Fe1079,3.245199910313157,8.23,53.81699607786241,1.9092224627308065,16.4378
254,Ni8805Co1421Cr3667Al457Mo858Ti578Nb126Fe1053,3.245200009623163,8.23,53.89237151535614,1.9049095482057212,16.5027
255,Ni8796Co1481Cr3755Al458Mo831Ti533Nb115Fe1044,3.245200005762309,8.23,53.649054436203436,1.918853508676437,16.5677
256,Ni8832Co1490Cr3901Al468Mo851Ti553Nb98Fe984,3.245194358516131,8.23,53.74600367906176,1.9132933294797394,16.6327
257,Ni8847Co1485Cr3931Al463Mo855Ti569Nb92Fe997,3.245193477492799,8.23,53.795063781882966,1.9104823135995872,16.6977
258,Ni8768Co1469Cr3885Al462Mo886Ti650Nb126Fe976,3.2455024787487377,8.23,53.99196290254723,1.8990433366623085,16.7626
259,Ni8875Co1474Cr3987Al476Mo829Ti559Nb99Fe1019,3.245878563375474,8.23,53.85052216583001,1.906904628977372,16.8276
260,Ni8842Co1479Cr3926Al472Mo859Ti578Nb97Fe1003,3.2195068220648086,8.23,54.10787862797799,1.9077157274464254,16.8926
261,Ni8843Co1482Cr3879Al464Mo841Ti564Nb93Fe1015,3.2075333810783526,8.23,54.1165775740006,1.9143358757800921,16.9575
262,Ni8883Co1477Cr3834Al478Mo848Ti552Nb89Fe998,3.2481686436443398,8.23,53.67330020683985,1.9157087554222312,17.0225
263,Ni8874Co1480Cr3833Al467Mo841Ti545Nb89Fe1008,3.245427626717414,8.23,53.66865955724762,1.9175931412883747,17.0875
264,Ni8681Co1468Cr4023Al456Mo921Ti658Nb131Fe957,3.245149757867819,8.23,54.232504853332706,1.8855516152321652,17.1524
265,Ni8924Co1490Cr3973Al468Mo799Ti522Nb92Fe1035,3.245195030100479,8.23,53.67837522375477,1.9171727918530965,17.2174
266,Ni8837Co1475Cr3843Al476Mo879Ti583Nb102Fe988,3.245200819805757,8.23,53.836583137373076,1.9081006086264982,17.2824
267,Ni8832Co1556Cr3822Al487Mo898Ti625Nb79Fe850,3.245200103978806,8.23,53.46678154995435,1.9293405968048905,17.3473
268,Ni8575Co1517Cr3739Al468Mo867Ti607Nb78Fe839,3.245199987114248,8.24,53.42728691292279,1.9316177189191848,17.4123
269,Ni8905Co1574Cr3998Al490Mo865Ti573Nb65Fe868,3.245199999304236,8.24,53.40490887838971,1.932908658387185,17.4773
270,Ni8865Co1613Cr3954Al502Mo933Ti641Nb57Fe761,3.245199993773233,8.24,53.348936619838405,1.9361399660846772,17.5422
271,Ni8879Co1642Cr3908Al503Mo933Ti611Nb51Fe742,3.24519991625691,8.24,53.1622587287834,1.9469415755429968,17.6072
272,Ni8790Co1620Cr3915Al504Mo959Ti661Nb56Fe731,3.245200272624473,8.24,53.349863215325676,1.9360862793436058,17.6722
273,Ni8972Co1665Cr3841Al503Mo896Ti568Nb44Fe758,3.245204840048126,8.24,52.88690697395604,1.9629404440524767,17.7371
274,Ni8807Co1669Cr3998Al506Mo953Ti646Nb46Fe683,3.245189572960115,8.24,53.18796376172639,1.945458180867458,17.8021
275,Ni8882Co1673Cr3978Al517Mo945Ti647Nb40Fe690,3.244924699238097,8.24,53.12433021622896,1.9493061477390214,17.8671
276,Ni8876Co1694Cr3910Al511Mo905Ti607Nb40Fe704,3.245508318313225,8.24,52.86940210557128,1.963776894281264,17.932
277,Ni8859Co1683Cr3846Al513Mo944Ti633Nb38Fe685,3.2650893971566,8.24,52.735777811451634,1.9597505216567108,17.997
278,Ni8913Co1689Cr3897Al514Mo946Ti616Nb31Fe684,3.2879294599065854,8.24,52.507576546158234,1.9593264377889945,18.062
